,MANDT,BUKRS,BELNR,BLDAT,BUDAT,AEDAT,USNAM,TCODE,XBLNR,STBLG,CPUDT,STJAH,BSTAT,WAERS,AWTYP,AWKEY,HWAER,XREVERSAL,CPUTM,GJAHR,BLART,AUGDT,AUGCP,BSCHL,KOART,AUGBL,BUZEI,SHKZG,WRBTR,DMBTR,ZUONR,SGTXT,VBUND,LIFNR,ZFBDT,ZTERM,ZBD1T,ZBD3T,ZBD2T,ZBD2P,ZBD1P,SKNTO,SKFBT,ZLSPR,FDWBT,ZLSCH,REBZJ,REBZZ,REBZT,REBZG,MATNR,NAME1,ID,unique_id
8268,10,222,232005406,2018-08-22,2019-02-12,,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FBVB,8340214374,None,2019-02-12,0,None,EUR,BKPF,5800135150556010,EUR,None,2047-09-15,2019,"KR
",2019-02-13,20190213,31,K,117100318,1,H,1377.81,1377.81,8340214374,None,None,5682545,2018-08-22,Z008,45,0,0,0,0.0,0.0,1377.81,None,-1377.81,None,0,0,None,None,None,Insula Fisher Diagnostics Ltd,010201901160027030111001,1377.812222018-08-228340214374
110,10,222,232008738,2019-05-08,2019-05-09,2019-06-04,2d244fd24252aa02fe43c876a09f66ff61c396a4,FBVB,1140283096,None,2019-05-13,0,None,EUR,BKPF,5800218450556010,EUR,None,,2019,"KR
",2019-07-16,20190717,31,K,117900851,1,H,888.79,888.79,1140283096,None,CZMIDE,5550055,2019-05-08,ZU28,68,0,0,0,0.0,0.0,888.79,None,-888.79,None,0,0,None,None,None,Nordmetall Microscopy GmbH,010201901160043690111001,888.792222019-05-081140283096
8280,10,222,232008738,2019-05-08,2019-05-09,2019-06-04,2d244fd24252aa02fe43c876a09f66ff61c396a4,FBVB,1140283096,None,2019-05-13,0,None,EUR,BKPF,5800218450556010,EUR,None,,2019,"KR
",2019-07-16,20190717,31,K,117900851,1,H,888.79,888.79,1140283096,None,CZMIDE,5550055,2019-05-08,ZU28,68,0,0,0,0.0,0.0,888.79,None,-888.79,None,0,0,None,None,None,Nordmetall Microscopt GmbH,010201901160043690111001,888.792222019-05-081140283096
7365,10,212,1320420298,2019-05-08,2019-05-28,,95347b81ed1a7e2f8819e3730e913cebb4a8947a,FB60,8805081901,None,2019-05-28,0,None,USD,BKPF,22007004967020672,EUR,None,,2019,"KR
",2019-08-15,20190816,31,K,0679076910,1,H,5043.09,4487.53,8805081901,None,NMSBE,5610417,2019-05-08,ZU28,68,0,0,0,0.0,0.0,5043.09,None,-5043.09,None,0,0,None,None,None,"Nordmetall SBE, LLC",010201906602101490106001,5043.092122019-05-088805081901
8788,10,212,1320419816,2019-05-08,2019-05-17,,95347b81ed1a7e2f8819e3730e913cebb4a8947a,FBVB,8805081901,0660210148,2019-05-20,2019,None,EUR,BKPF,16505247700265504,EUR,1,,2019,"KR
",2019-05-17,20190528,31,K,0660210148,1,H,5043.09,5043.09,8805081901,None,NMSBE,5610417,2019-05-08,ZU28,68,0,0,0,0.0,0.0,5043.09,None,-5043.09,None,0,0,None,None,None,"Nordmetall SBE, LLC",010201906602099080106001,5043.092122019-05-088805081901
63,10,202,29191170,2019-08-13,2019-08-16,2019-08-27,99960619acb2451c6606d9d9755a079fcf74a780,MIRO,85193,None,2019-08-16,0,None,EUR,RMRP,45508676551009,EUR,None,2018-09-26,2019,"RE
",2019-09-12,20190912,31,K,171451941,1,H,2395.23,2395.23,85193,None,None,5515781,2019-08-13,Z006,30,0,0,0,0.0,0.0,2395.23,None,-2395.23,None,0,0,None,None,None,gremerath Bürosysteme GmbH,010201900145955850101001,2395.232022019-08-1385193
8920,10,202,29191170,2019-08-13,2019-08-16,2019-08-27,99960619acb2451c6606d9d9755a079fcf74a780,MIRO,85193,None,2019-08-16,0,None,EUR,RMRP,45508676551009,EUR,None,2018-09-26,2019,"RE
",2019-09-12,20190912,31,K,171451941,1,H,2395.23,2395.23,85193,None,None,5515781,2019-08-13,Z006,30,0,0,0,0.0,0.0,2395.23,None,-2395.23,None,0,0,None,None,None,gremerath Bürosysteme Co. KG,010201900145955850101001,2395.232022019-08-1385193
5031,10,252,532041270,2019-02-26,2019-03-08,,ef853c35387f3b35e0025b62451b42fa5f977288,FB60,1040969586,None,2019-03-08,0,None,EUR,BKPF,6650515875315505,EUR,None,,2019,"KR
",2019-04-15,20190415,31,K,0267904371,1,H,44370.0,44370.0,1040969586,None,NM,5387024,2019-02-26,ZU28,48,0,0,0,0.0,0.0,44370.0,None,-44370.0,None,0,0,None,None,None,Nordmetall KG,010201902660206350126001,44370.02522019-02-261040969586
9141,10,252,532041100,2019-02-26,2019-02-28,,ef853c35387f3b35e0025b62451b42fa5f977288,FB60,1040969586,0266020634,2019-03-01,2019,None,EUR,BKPF,8867351667087340,EUR,1,2029-09-17,2019,"KR
",2019-03-08,20190308,31,K,0266020634,1,H,44370.0,44370.0,1040969586,None,NM,5387024,2019-02-26,ZU28,48,0,0,0,0.0,0.0,44370.0,B,-44370.0,None,0,0,None,None,None,Nordmetall KG,010201902660205500126001,44370.02522019-02-261040969586
8825,10,212,1320425606,2019-09-09,2019-09-11,,8c77a98c3b14cb15ee90f9ab24989cc1e3c69297,MIRO,EG19/2913,None,2019-09-11,0,None,HUF,RMRP,30354060930673,EUR,None,,2019,"RE
",2019-11-19,20191119,31,K,600702190,1,H,1431000.0,4377.41,EG19/2913,None,NMUSPO,5547350,2019-09-09,ZU28,67,0,0,0,0.0,0.0,1431000.0,None,-1431000.0,None,0,0,None,None,None,Nordmetall Sport Optics Hungary K,010201906602128030106001,1431000.02122019-09-09EG19/2913
9613,10,212,1320425606,2019-09-09,2019-09-11,,8c77a98c3b14cb15ee90f9ab24989cc1e3c69297,MIRO,EG19/2913,None,2019-09-11,0,None,HUF,RMRP,30354060930673,EUR,None,,2019,"RE
",2019-11-19,20191119,31,K,0600702190,1,H,1431000.0,4377.41,EG19/2913,None,NMUSPO,5547350,2019-09-09,ZU28,67,0,0,0,0.0,0.0,1431000.0,None,-1431000.0,None,0,0,None,None,None,Nordmetall Sport Optikai Hungaria K,010201906602128030106001,1431000.02122019-09-09EG19/2913
6451,10,252,532046438,2019-08-30,2019-09-18,,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FBVB,3040002324,None,2019-09-18,0,None,EUR,BKPF,13301160950631010,EUR,None,,2019,"KR
",2019-09-26,20190926,31,K,0267112063,1,H,14860.31,14860.31,3040002324,None,None,5351180,2019-08-30,Z006,30,0,0,0,0.0,0.0,14860.31,None,-14860.31,None,0,0,None,None,None,Kontinent Spedition GmbH,010201902660232190126001,14860.312522019-08-303040002324
9919,10,252,532046438,2019-08-30,2019-09-18,,a5cd61c0acfb9155ae192cd49259dffb11ec44e4,FBVB,3040002324,None,2019-09-18,0,None,EUR,BKPF,13301160950631010,EUR,None,,2019,"KR
",2019-09-26,20190926,31,K,267112063,1,H,14860.31,14860.31,3040002324,None,None,5351180,2019-08-30,Z006,30,0,0,0,0.0,0.0,14860.31,None,-14860.31,None,0,0,None,None,None,Kontinent Expedition GmbH,010201902660232190126001,14860.312522019-08-303040002324
1393,10,202,29201790,2019-09-19,2019-09-19,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,RE2019-111,None,2019-09-19,0,None,EUR,RMRP,22754348770504,EUR,None,,2019,"RE
",2019-11-18,20191118,31,K,171458325,1,H,1428.0,1428.0,RE2019-111,None,None,5671376,2019-09-19,Z009,60,0,0,0,0.0,0.0,1428.0,None,-1428.0,None,0,0,None,None,None,Hofmann Medienberatung,010201900146008950101001,1428.02022019-09-19RE2019-111
10010,10,202,29201790,2019-09-19,2019-09-19,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,RE2019-111,None,2019-09-19,0,None,EUR,RMRP,22754348770504,EUR,None,,2019,"RE
",2019-11-18,20191118,31,K,171458325,1,H,1428.0,1428.0,RE2019-111,None,None,5671376,2019-09-19,Z009,60,0,0,0,0.0,0.0,1428.0,None,-1428.0,None,0,0,None,None,None,Hofmann Medical Consulting,010201900146008950101001,1428.02022019-09-19RE2019-111
9771,10,222,232013644,2019-09-09,2019-09-10,,2d244fd24252aa02fe43c876a09f66ff61c396a4,FBVB,V2-167/2019,None,2019-09-16,0,None,EUR,BKPF,3866894067037339,EUR,None,,2019,"KR
",2019-09-23,20190923,31,K,117101116,1,H,155908.5,155908.5,V2-167/2019,None,None,5580916,2019-09-09,Z004,14,0,0,0,0.0,0.0,155908.5,None,-155908.5,None,0,0,None,None,None,3DHISTECHNIC Ltd.,010201901160068220111001,155908.52222019-09-09V2-167/2019
10371,10,222,232013644,2019-09-09,2019-09-10,,2d244fd24252aa02fe43c876a09f66ff61c396a4,FBVB,V2-167/2019,None,2019-09-16,0,None,EUR,BKPF,3866894067037339,EUR,None,,2019,"KR
",2019-09-23,20190923,31,K,117101116,1,H,155908.5,155908.5,V2-167/2019,None,None,5580916,2019-09-09,Z004,14,0,0,0,0.0,0.0,155908.5,None,-155908.5,None,0,0,None,None,None,3DHISTECH Ltd.,010201901160068220111001,155908.52222019-09-09V2-167/2019
2124,10,202,29202554,2019-09-20,2019-09-23,2019-09-23,25bdae2a660c2a4a2f93aa4ba107f83426bedf1f,FB60,9309201917,0014601279,2019-09-23,2019,None,USD,BKPF,365031925253004,EUR,1,,2019,"KR
",2019-09-23,20190923,31,K,14601279,1,H,2429.54,2183.66,9309201917,None,NMSBE,5412333,2019-09-20,ZU28,56,0,0,0,0.0,0.0,2429.54,None,-2429.54,None,0,0,None,None,None,"Nordmetall SBE, LLC.",010201900146012770101001,2429.542022019-09-209309201917
10451,10,202,29202560,2019-09-20,2019-09-23,,25bdae2a660c2a4a2f93aa4ba107f83426bedf1f,FB60,9309201917,None,2019-09-23,0,None,USD,BKPF,486709333670673,EUR,None,,2019,"KR
",2019-11-15,20191119,31,K,1220083,1,H,2429.54,2183.66,9309201917,None,NMSBE,5610417,2019-09-20,ZU28,56,0,0,0,0.0,0.0,2429.54,None,-2429.54,None,0,0,None,None,None,"Nordmetall SBE, LLC",010201900146012800101001,2429.542022019-09-209309201917
464,10,252,532044838,2019-07-10,2019-07-12,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,30492,None,2019-07-12,0,None,EUR,RMRP,22815055433004,EUR,None,,2019,"RE
",2019-08-22,20190822,31,K,0267111741,1,H,1480.78,1480.78,30492,None,None,5300230,2019-07-10,Z008,45,0,0,0,0.0,0.0,1480.78,None,-1480.78,None,0,0,None,None,None,L&W Verwaltungs-GmbH,010201902660224190126001,1480.782522019-07-1030492
10547,10,252,532044838,2019-07-10,2019-07-12,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,30492,None,2019-07-12,0,None,EUR,RMRP,22815055433004,EUR,None,,2019,"RE
",2019-08-22,20190822,31,K,267111741,1,H,1480.78,1480.78,30492,None,None,5300230,2019-07-10,Z008,45,0,0,0,0.0,0.0,1480.78,None,-1480.78,None,0,0,None,None,None,L&W Consulting-GmbH,010201902660224190126001,1480.782522019-07-1030492
